127.0.0.1 - - [23/Oct/2015:15:55:19 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Oct/2015:15:55:37 +0800] "GET /myblog/jsp/nav/index.jsp HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [23/Oct/2015:15:55:37 +0800] "GET /myblog/jsp/nav/css/news.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:15:55:37 +0800] "GET /myblog/jsp/nav/css/nav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:15:55:37 +0800] "GET /myblog/image/journalheader/default.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:15:55:37 +0800] "GET /myblog/jsp/nav/img/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:15:55:37 +0800] "GET /myblog/jsp/nav/img/newsbg01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:15:55:37 +0800] "GET /myblog/jsp/nav/img/newsbg02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:15:55:37 +0800] "GET /myblog/jsp/nav/img/newsbg04.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:15:55:37 +0800] "GET /myblog/jsp/nav/img/newsbg03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:15:55:40 +0800] "GET /myblog/jsp/Journal/Journal.jsp HTTP/1.1" 200 15443
0:0:0:0:0:0:0:1 - - [23/Oct/2015:15:55:40 +0800] "GET /myblog/jsp/Journal/css/component.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:15:55:40 +0800] "GET /myblog/jsp/Journal/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:15:55:40 +0800] "GET /myblog/jsp/Journal/css/demo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:15:55:40 +0800] "GET /myblog/jsp/Journal/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:15:55:40 +0800] "GET /myblog/jsp/Journal/js/modernizr.custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:15:55:40 +0800] "GET /myblog/jsp/Journal/js/gridScrollFx.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:15:55:40 +0800] "GET /myblog/jsp/Journal/js/classie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:15:55:40 +0800] "GET /myblog/jsp/Journal/js/imagesloaded.pkgd.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:15:55:40 +0800] "GET /myblog/jsp/Journal/js/colorfinder-1.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:15:55:40 +0800] "GET /myblog/jsp/Journal/js/masonry.pkgd.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:15:55:40 +0800] "GET /myblog/jsp/Journal/img/loading.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:15:55:42 +0800] "GET /myblog/jsp/nav/index.jsp HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [23/Oct/2015:15:55:43 +0800] "GET /myblog/jsp/Journal/Journal.jsp HTTP/1.1" 200 15443
0:0:0:0:0:0:0:1 - - [23/Oct/2015:15:55:44 +0800] "GET /myblog/jsp/nav/index.jsp HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:01:16 +0800] "GET /myblog/jsp/nav/index.jsp HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:01:19 +0800] "GET /myblog/jsp/Journal/Journal.jsp HTTP/1.1" 200 15443
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:01:22 +0800] "GET /myblog/jsp/nav/index.jsp HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:01:22 +0800] "GET /myblog/jsp/Journal/Journal.jsp HTTP/1.1" 200 15443
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:04:27 +0800] "GET /myblog/jsp/nav/index.jsp HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:04:29 +0800] "GET /myblog/jsp/Journal/Journal.jsp HTTP/1.1" 200 15443
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:04:30 +0800] "GET /myblog/jsp/nav/index.jsp HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:06:19 +0800] "GET /myblog/jsp/nav/index.jsp HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:06:20 +0800] "GET /myblog/jsp/Journal/Journal.jsp HTTP/1.1" 200 15611
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:06:21 +0800] "GET /myblog/jsp/nav/index.jsp HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:06:22 +0800] "GET /myblog/jsp/Journal/Journal.jsp HTTP/1.1" 200 15611
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:06:23 +0800] "GET /myblog/jsp/Journal/journal_each.jsp?id=17 HTTP/1.1" 200 5018
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:06:23 +0800] "GET /myblog/jsp/Journal/fontawesome-4.2.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:06:23 +0800] "GET /myblog/jsp/Journal/css/journal_each.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:06:23 +0800] "GET /myblog/jsp/Journal/css/wangEditor-1.1.0-min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:06:23 +0800] "GET /myblog/jsp/Journal/js/wangEditor-1.1.0-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:06:23 +0800] "GET /myblog/jsp/Journal/js/jquery-1.10.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:06:58 +0800] "GET /myblog/jsp/Journal/Journal.jsp HTTP/1.1" 200 15611
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:07:00 +0800] "GET /myblog/jsp/nav/index.jsp HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:07:00 +0800] "GET /myblog/jsp/Journal/Journal.jsp HTTP/1.1" 200 15611
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:07:01 +0800] "GET /myblog/jsp/nav/index.jsp HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:07:02 +0800] "GET /myblog/jsp//Journal/journal_each.jsp?id=17 HTTP/1.1" 200 5018
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:07:02 +0800] "GET /myblog/jsp//Journal/js/jquery-1.10.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:07:02 +0800] "GET /myblog/jsp//Journal/css/journal_each.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:07:02 +0800] "GET /myblog/jsp//Journal/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:07:02 +0800] "GET /myblog/jsp//Journal/fontawesome-4.2.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:07:02 +0800] "GET /myblog/jsp//Journal/css/wangEditor-1.1.0-min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:07:02 +0800] "GET /myblog/jsp//Journal/js/wangEditor-1.1.0-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:07:04 +0800] "GET /myblog/jsp//Journal/Journal.jsp HTTP/1.1" 200 15611
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:07:04 +0800] "GET /myblog/jsp//Journal/css/component.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:07:04 +0800] "GET /myblog/jsp//Journal/js/modernizr.custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:07:04 +0800] "GET /myblog/jsp//Journal/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:07:04 +0800] "GET /myblog/jsp//Journal/css/demo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:16:07:04 +0800] "GET /myblog/jsp//Journal/js/imagesloaded.pkgd.min.js HTTP/1.1" 304 -
