127.0.0.1 - - [25/Nov/2015:19:33:29 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Nov/2015:19:34:03 +0800] "GET /myblog/jsp/nav/index.jsp HTTP/1.1" 200 7382
0:0:0:0:0:0:0:1 - - [25/Nov/2015:19:34:07 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/Nov/2015:19:34:10 +0800] "GET /myblog/jsp//Journal/journal_each.jsp?id=22 HTTP/1.1" 200 6171
0:0:0:0:0:0:0:1 - - [25/Nov/2015:19:34:10 +0800] "GET /myblog/jsp//Journal/fontawesome-4.2.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2015:19:34:10 +0800] "GET /myblog/jsp//Journal/js/showdown.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2015:19:34:10 +0800] "GET /myblog/jsp//Journal/css/journal_each.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2015:19:34:10 +0800] "GET /myblog/jsp//Journal/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2015:19:34:10 +0800] "GET /myblog/jsp//Journal/js/wangEditor-1.1.0-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2015:19:34:10 +0800] "GET /myblog/jsp//Journal/js/jquery-1.10.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2015:19:34:10 +0800] "GET /myblog/jsp//Journal/css/wangEditor-1.1.0-min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2015:19:34:17 +0800] "GET /myblog/jsp//login/login.jsp HTTP/1.1" 200 3914
0:0:0:0:0:0:0:1 - - [25/Nov/2015:19:34:17 +0800] "GET /myblog/jsp//login/css/supersized.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2015:19:34:17 +0800] "GET /myblog/jsp//login/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2015:19:34:17 +0800] "GET /myblog/jsp//login/js/supersized-init.js HTTP/1.1" 304 -
